Those Barren Leaves	123
Ah, Wilderness!	52
Fargo Gandhi	53
It's a Battlefield	19
That Good Night	41
Titans Jerk	58
To Sail Beyond the Sunset	119
Now Sleeps the Crimson Petal	103
Arms and the Man	15
Grail Frankenstein	34
Torque Bound	76
The Golden Bowl	103
Kissing Dolls	69
A Glass of Blessings	9
The Painted Veil	27
Jingle Sagebrush	112
Butter In a Lordly Dish	112
Behold the Man	84
An Evil Cradling	140
Noli Me Tangere	15
Theory Mermaid	15
Lilies of the Field	88
Goodfellas Salute	32
Valentine Vanishing	27
Waterfront Deliverance	107
Tracy Cider	47
Fair Stood the Wind for France	22
If Not Now, When?	37
An Acceptable Time	86
I Know Why the Caged Bird Sings	62
Crowds Telemark	47
I Will Fear No Evil	135
Fear and Trembling	118
The Mermaids Singing	43
Mother Night	101
The Green Bay Tree	104
By Grand Central Station I Sat Down and Wept	116
A Passage to India	69
Blue Remembered Earth	61
A Many-Splendoured Thing	57
That Hideous Strength	10
When the Green Woods Laugh	60
From Here to Eternity	106
Identity Lover	90
Deliverance Mulholland	138
Beneath the Bleeding	92
Lesson Cleopatra	85
Things Fall Apart	75
An Instant In The Wind	20
Patient Sister	140
The World, the Flesh and the Devil	119
All Passion Spent	62
The Waste Land	48
This Side of Paradise	129
In Death Ground	47
The Man Within	147
Stranger in a Strange Land	38
The Skull Beneath the Skin	56
The Violent Bear It Away	115
Death Be Not Proud	15
A che punto è la notte	37
The Cricket on the Hearth	18
Casablanca Super	77
Alice Fantasia	58
A Fanatic Heart	126
Idols Snatchers	108
The Doors of Perception	9
Many Waters	54
The Curious Incident of the Dog in the Night-Time	121
Little Hands Clapping	106
Vanity Fair	39
Blue Remembered Hills	46
I Sing the Body Electric	68
Hours Rage	45
In Dubious Battle	116
Bury My Heart at Wounded Knee	91
Oh! To be in England	56
Consider Phlebas	100
Jacob Have I Loved	33
Pride Alamo	59
Postern of Fate	115
Cover Her Face	15
Unweaving the Rainbow	34
Specimen Days	105
Number the Stars	43
The Torment of Others	29
Records Zorro	17
Gandhi Kwai	10
Moab Is My Washpot	130
Such, Such Were the Joys	140
Alien Corn (play)	78
Everything is Illuminated	57
Baked Cleopatra	15
The Golden Apples of the Sun	71
The Line of Beauty	114
Alone on a Wide, Wide Sea	82
This Lime Tree Bower	68
Nectar in a Sieve	82
The Far-Distant Oxus	113
The Stars' Tennis Balls	132
Quo Vadis	18
Disciple Mother	66
A Summer Bird-Cage	126
Antic Hay	9
Peach Innocent	95
The Heart Is a Lonely Hunter	68
Surprised by Joy	106
The Mirror Crack'd from Side to Side	52
Far From the Madding Crowd	77
A Darkling Plain	126
The Heart Is Deceitful Above All Things	62
Eve Resurrection	18
To Your Scattered Bodies Go	58
The Wings of the Dove	127
The Wealth of Nations	90
Terminator Club	29
Cranes Reservoir	76
Taming a Sea Horse	47
Thrones, Dominations	136
How Sleep the Brave	94
How Sleep the Brave	136
How Sleep the Brave	141
Forever Candidate	125
Cyclone Family	70
The Other Side of Silence	1
Tender Is the Night	77
Bonjour Tristesse	57
Thief Pelican	111
No Longer at Ease	60
Down to a Sunless Sea	95
Resurrection Silverado	27
O Jerusalem!	108
Dying of the Light	146
Absalom, Absalom!	129
Apocalypse Flamingos	108
Madison Trap	23
Scissorhands Slums	130
To Say Nothing of the Dog	37
Blithe Spirit	148
The Parliament of Man	94
The Little Foxes	86
A Scanner Darkly	29
Hook Chariots	127
Polish Brooklyn	136
A Swiftly Tilting Planet	140
Lebowski Soldiers	13
The Needle's Eye	72
Blood's a Rover	12
Tiger! Tiger!	50
Elephant Trojan	139
Dance Dance Dance	24
Dulce et Decorum Est	52
All the King's Men	58
The Soldier's Art	129
Paths of Glory	19
Beyond the Mexique Bay	19
His Dark Materials	30
What's Become of Waring	148
Fame Is the Spur	61
The Way Through the Woods	118
After Many a Summer Dies the Swan	56
Egypt Tenenbaums	115
Sugar Wonka	43
Shall not Perish	142
Where Angels Fear to Tread	92
Terrible Swift Sword	146
Casper Dragonfly	56
Consider the Lilies	50
Time of our Darkness	17
Money Harold	19
O Pioneers!	59
For Whom the Bell Tolls	77
Bull Shawshank	123
Ring of Bright Water	97
For a Breath I Tarry	108
Wildfire at Midnight	113
A Time of Gifts	2
Tomatoes Hellfighters	75
Storm Happiness	41
A Confederacy of Dunces	25
In a Glass Darkly	46
Carrion Comfort	136
The Grapes of Wrath	48
Time To Murder And Create	31
Expecations Natural	30
Tirra Lirra by the River	62
The Daffodil Sky	17
Conquerer Nuts	116
To a God Unknown	31
Worker Tarzan	60
The Last Enemy	1
East of Eden	59
Jesting Pilate	146
The Alien Corn (short story)	15
Greedy Roots	132
A Farewell to Arms	17
If I Forget Thee Jerusalem	142
A Handful of Dust	87
Frequent Hearses	105
The Proper Study	75
Core Suit	51
The House of Mirth	101
Trouble Date	66
Of Mice and Men	120
The Glory and the Dream	68
The Millstone	145
Endless Night	82
Great Work of Time	21
Let Us Now Praise Famous Men	40
Eyeless in Gaza	139
A Catskill Eagle	145
Braveheart Human	85
Drums Dynamite	130
Have His Carcase	79
Intentions Empire	133
Of Human Bondage	39
The Lathe of Heaven	19
The Wives of Bath	60
Nine Coaches Waiting	73
Look to Windward	79
The Sun Also Rises	79
Some Buried Caesar	129
Cabbages and Kings	13
Paths Control	40
Vile Bodies	38
Island Exorcist	44
Waiting for the Barbarians	112
Joon Northwest	113
In a Dry Season	69
Recalled to Life	47
Recalled to Life	121
The Moving Finger	50
The Road Less Traveled	35
Brandy of the Damned	7
The Way of All Flesh	70
No Country for Old Men	57
The Last Temptation	14
Potluck Mixed	90
Clouds of Witness	12
As I Lay Dying	149
The Moving Toyshop	51
Precious Bane	62
No Highway	77
The Monkey's Raincoat	125
Exorcist Sting	11
Pale Kings and Princes	31
The Moon by Night	138
Look Homeward, Angel	1
Ego Dominus Tuus	27
The Yellow Meads of Asphodel	24
A Time to Kill	133
Rear Trading	84
Gone with the Wind	35
Fantasia Park	77
Mr Standfast	91
The Widening Gyre	103
Rush Goodfellas	39
A Monstrous Regiment of Women	44
